ID	Gene Name	Species	REACTOME_PATHWAY
AQP3	aquaporin 3 (Gill blood group)(AQP3)	Homo sapiens	R-HSA-382551~Transport of small molecules,R-HSA-432040~Vasopressin regulates renal water homeostasis via Aquaporins,R-HSA-432047~Passive transport by Aquaporins,R-HSA-445717~Aquaporin-mediated transport,
AHR	aryl hydrocarbon receptor(AHR)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-1989781~PPARA activates gene expression,R-HSA-211859~Biological oxidations,R-HSA-211897~Cytochrome P450 - arranged by substrate type,R-HSA-211945~Phase I - Functionalization of compounds,R-HSA-211976~Endogenous sterols,R-HSA-211981~Xenobiotics,R-HSA-400206~Regulation of lipid metabolism by PPARalpha,R-HSA-556833~Metabolism of lipids,R-HSA-8937144~Aryl hydrocarbon receptor signalling,
ATG101	autophagy related 101(ATG101)	Homo sapiens	R-HSA-1632852~Macroautophagy,R-HSA-9612973~Autophagy,
ATG3	autophagy related 3(ATG3)	Homo sapiens	R-HSA-1632852~Macroautophagy,R-HSA-9612973~Autophagy,
BSG	basigin (Ok blood group)(BSG)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1428517~The citric acid (TCA) cycle and respiratory electron transport,R-HSA-1430728~Metabolism,R-HSA-1474228~Degradation of the extracellular matrix,R-HSA-1474244~Extracellular matrix organization,R-HSA-1643685~Disease,R-HSA-202733~Cell surface interactions at the vascular wall,R-HSA-210991~Basigin interactions,R-HSA-216083~Integrin cell surface interactions,R-HSA-382551~Transport of small molecules,R-HSA-425366~Transport of bile salts and organic acids, metal ions and amine compounds,R-HSA-425407~SLC-mediated transmembrane transport,R-HSA-433692~Proton-coupled monocarboxylate transport,R-HSA-5619070~Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),R-HSA-5619102~SLC transporter disorders,R-HSA-5619115~Disorders of transmembrane transporters,R-HSA-70268~Pyruvate metabolism,R-HSA-71406~Pyruvate metabolism and Citric Acid (TCA) cycle,R-HSA-9748784~Drug ADME,R-HSA-9749641~Aspirin ADME,
BOD1L1	biorientation of chromosomes in cell division 1 like 1(BOD1L1)	Homo sapiens	R-HSA-212165~Epigenetic regulation of gene expression,R-HSA-74160~Gene expression (Transcription),R-HSA-9772755~Formation of WDR5-containing histone-modifying complexes,
BAZ1B	bromodomain adjacent to zinc finger domain 1B(BAZ1B)	Homo sapiens	R-HSA-212165~Epigenetic regulation of gene expression,R-HSA-5250913~Positive epigenetic regulation of rRNA expression,R-HSA-5250924~B-WICH complex positively regulates rRNA expression,R-HSA-5693532~DNA Double-Strand Break Repair,R-HSA-5693565~Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,R-HSA-5693606~DNA Double Strand Break Response,R-HSA-73894~DNA Repair,R-HSA-74160~Gene expression (Transcription),
ARPP19	cAMP regulated phosphoprotein 19(ARPP19)	Homo sapiens	R-HSA-1640170~Cell Cycle,R-HSA-2465910~MASTL Facilitates Mitotic Progression,R-HSA-68875~Mitotic Prophase,R-HSA-68886~M Phase,R-HSA-69278~Cell Cycle, Mitotic,
CREB1	cAMP responsive element binding protein 1(CREB1)	Homo sapiens	R-HSA-111885~Opioid Signalling,R-HSA-111931~PKA-mediated phosphorylation of CREB,R-HSA-111932~CaMK IV-mediated phosphorylation of CREB,R-HSA-111933~Calmodulin induced events,R-HSA-111996~Ca-dependent events,R-HSA-111997~CaM pathway,R-HSA-112040~G-protein mediated events,R-HSA-112043~PLC beta mediated events,R-HSA-112314~Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-112315~Transmission across Chemical Synapses,R-HSA-112316~Neuronal System,R-HSA-1257604~PIP3 activates AKT signaling,R-HSA-1266738~Developmental Biology,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1489509~DAG and IP3 signaling,R-HSA-157118~Signaling by NOTCH,R-HSA-1592230~Mitochondrial biogenesis,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-166016~Toll Like Receptor 4 (TLR4) Cascade,R-HSA-166058~MyD88:MAL(TIRAP) cascade initiated on plasma membrane,R-HSA-166166~MyD88-independent TLR4 cascade ,R-HSA-166520~Signaling by NTRKs,R-HSA-168138~Toll Like Receptor 9 (TLR9) Cascade,R-HSA-168142~Toll Like Receptor 10 (TLR10) Cascade,R-HSA-168164~Toll Like Receptor 3 (TLR3) Cascade,R-HSA-168176~Toll Like Receptor 5 (TLR5) Cascade,R-HSA-168179~Toll Like Receptor TLR1:TLR2 Cascade,R-HSA-168181~Toll Like Receptor 7/8 (TLR7/8) Cascade,R-HSA-168188~Toll Like Receptor TLR6:TLR2 Cascade,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-168898~Toll-like Receptor Cascades,R-HSA-181438~Toll Like Receptor 2 (TLR2) Cascade,R-HSA-1852241~Organelle biogenesis and maintenance,R-HSA-187037~Signaling by NTRK1 (TRKA),R-HSA-1980145~Signaling by NOTCH2,R-HSA-198693~AKT phosphorylates targets in the nucleus,R-HSA-198725~Nuclear Events (kinase and transcription factor activation),R-HSA-199920~CREB phosphorylation,R-HSA-212436~Generic Transcription Pathway,R-HSA-2151201~Transcriptional activation of mitochondrial biogenesis,R-HSA-2197563~NOTCH2 intracellular domain regulates transcription,R-HSA-2219528~PI3K/AKT Signaling in Cancer,R-HSA-2262752~Cellular responses to stress,R-HSA-372790~Signaling by GPCR,R-HSA-375165~NCAM signaling for neurite out-growth,R-HSA-388396~GPCR downstream signalling,R-HSA-400253~Circadian Clock,R-HSA-416476~G alpha (q) signalling events,R-HSA-418594~G alpha (i) signalling events,R-HSA-422475~Axon guidance,R-HSA-438064~Post NMDA receptor activation events,R-HSA-442720~CREB1 phosphorylation through the activation of Adenylate Cyclase,R-HSA-442729~CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,R-HSA-442742~CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,R-HSA-442755~Activation of NMDA receptors and postsynaptic events,R-HSA-448424~Interleukin-17 signaling,R-HSA-449147~Signaling by Interleukins,R-HSA-450282~MAPK targets/ Nuclear events mediated by MAP kinases,R-HSA-450294~MAP kinase activation,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-5663205~Infectious disease,R-HSA-5674400~Constitutive Signaling by AKT1 E17K in Cancer,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-881907~Gastrin-CREB signalling pathway via PKC and MAPK,R-HSA-8939211~ESR-mediated signaling,R-HSA-8953897~Cellular responses to stimuli,R-HSA-8986944~Transcriptional Regulation by MECP2,R-HSA-9006925~Intracellular signaling by second messengers,R-HSA-9006931~Signaling by Nuclear Receptors,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9009391~Extra-nuclear estrogen signaling,R-HSA-9022692~Regulation of MECP2 expression and activity,R-HSA-9022699~MECP2 regulates neuronal receptors and channels,R-HSA-9022702~MECP2 regulates transcription of neuronal ligands,R-HSA-9022707~MECP2 regulates transcription factors,R-HSA-9031628~NGF-stimulated transcription,R-HSA-937061~TRIF(TICAM1)-mediated TLR4 signaling ,R-HSA-9609646~HCMV Infection,R-HSA-9609690~HCMV Early Events,R-HSA-9616222~Transcriptional regulation of granulopoiesis,R-HSA-9634638~Estrogen-dependent nuclear events downstream of ESR-membrane signaling,R-HSA-9658195~Leishmania infection,R-HSA-9660821~ADORA2B mediated anti-inflammatory cytokines production,R-HSA-9662851~Anti-inflammatory response favouring Leishmania parasite infection,R-HSA-9664323~FCGR3A-mediated IL10 synthesis,R-HSA-9664433~Leishmania parasite growth and survival,R-HSA-9675108~Nervous system development,R-HSA-9707616~Heme signaling,R-HSA-975138~TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,R-HSA-975155~MyD88 dependent cascade initiated on endosome,R-HSA-975871~MyD88 cascade initiated on plasma membrane,R-HSA-9824443~Parasitic Infection Pathways,R-HSA-9824446~Viral Infection Pathways,
CALM1	calmodulin 1(CALM1)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-111885~Opioid Signalling,R-HSA-111931~PKA-mediated phosphorylation of CREB,R-HSA-111932~CaMK IV-mediated phosphorylation of CREB,R-HSA-111933~Calmodulin induced events,R-HSA-111957~Cam-PDE 1 activation,R-HSA-111996~Ca-dependent events,R-HSA-111997~CaM pathway,R-HSA-112040~G-protein mediated events,R-HSA-112043~PLC beta mediated events,R-HSA-112314~Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-112315~Transmission across Chemical Synapses,R-HSA-112316~Neuronal System,R-HSA-114608~Platelet degranulation ,R-HSA-1168372~Downstream signaling events of B Cell Receptor (BCR),R-HSA-1280218~Adaptive Immune System,R-HSA-1430728~Metabolism,R-HSA-1445148~Translocation of SLC2A4 (GLUT4) to the plasma membrane,R-HSA-1474151~Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation,R-HSA-1483249~Inositol phosphate metabolism,R-HSA-1489509~DAG and IP3 signaling,R-HSA-1592230~Mitochondrial biogenesis,R-HSA-162582~Signal Transduction,R-HSA-163615~PKA activation,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-180024~DARPP-32 events,R-HSA-1852241~Organelle biogenesis and maintenance,R-HSA-1855204~Synthesis of IP3 and IP4 in the cytosol,R-HSA-194138~Signaling by VEGF,R-HSA-194315~Signaling by Rho GTPases,R-HSA-195258~RHO GTPase Effectors,R-HSA-195721~Signaling by WNT,R-HSA-196854~Metabolism of vitamins and cofactors,R-HSA-199991~Membrane Trafficking,R-HSA-202131~Metabolism of nitric oxide: NOS3 activation and regulation,R-HSA-2025928~Calcineurin activates NFAT,R-HSA-203615~eNOS activation,R-HSA-212436~Generic Transcription Pathway,R-HSA-2151201~Transcriptional activation of mitochondrial biogenesis,R-HSA-2187338~Visual phototransduction,R-HSA-2454202~Fc epsilon receptor (FCERI) signaling,R-HSA-2514856~The phototransduction cascade,R-HSA-2514859~Inactivation, recovery and regulation of the phototransduction cascade,R-HSA-2672351~Stimuli-sensing channels,R-HSA-2871809~FCERI mediated Ca+2 mobilization,R-HSA-372790~Signaling by GPCR,R-HSA-382551~Transport of small molecules,R-HSA-3858494~Beta-catenin independent WNT signaling,R-HSA-388396~GPCR downstream signalling,R-HSA-392499~Metabolism of proteins,R-HSA-397014~Muscle contraction,R-HSA-4086398~Ca2+ pathway,R-HSA-418346~Platelet homeostasis,R-HSA-418359~Reduction of cytosolic Ca++ levels,R-HSA-418360~Platelet calcium homeostasis,R-HSA-418594~G alpha (i) signalling events,R-HSA-425393~Transport of inorganic cations/anions and amino acids/oligopeptides,R-HSA-425407~SLC-mediated transmembrane transport,R-HSA-425561~Sodium/Calcium exchangers,R-HSA-438064~Post NMDA receptor activation events,R-HSA-438066~Unblocking of NMDA receptors, glutamate binding and activation,R-HSA-4420097~VEGFA-VEGFR2 Pathway,R-HSA-442720~CREB1 phosphorylation through the activation of Adenylate Cyclase,R-HSA-442729~CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,R-HSA-442742~CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,R-HSA-442755~Activation of NMDA receptors and postsynaptic events,R-HSA-442982~Ras activation upon Ca2+ influx through NMDA receptor,R-HSA-445355~Smooth Muscle Contraction,R-HSA-451306~Ionotropic activity of kainate receptors,R-HSA-451308~Activation of Ca-permeable Kainate Receptor,R-HSA-451326~Activation of kainate receptors upon glutamate binding,R-HSA-5210891~Uptake and function of anthrax toxins,R-HSA-5218920~VEGFR2 mediated vascular permeability,R-HSA-5218921~VEGFR2 mediated cell proliferation,R-HSA-5339562~Uptake and actions of bacterial toxins,R-HSA-5576891~Cardiac conduction,R-HSA-5576892~Phase 0 - rapid depolarisation,R-HSA-5578775~Ion homeostasis,R-HSA-5607763~CLEC7A (Dectin-1) induces NFAT activation,R-HSA-5607764~CLEC7A (Dectin-1) signaling,R-HSA-5621481~C-type lectin receptors (CLRs),R-HSA-5626467~RHO GTPases activate IQGAPs,R-HSA-5627123~RHO GTPases activate PAKs,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-5663205~Infectious disease,R-HSA-5673000~RAF activation,R-HSA-5673001~RAF/MAP kinase cascade,R-HSA-5683057~MAPK family signaling cascades,R-HSA-5684996~MAPK1/MAPK3 signaling,R-HSA-597592~Post-translational protein modification,R-HSA-6802946~Signaling by moderate kinase activity BRAF mutants,R-HSA-6802949~Signaling by RAS mutants,R-HSA-6802952~Signaling by BRAF and RAF1 fusions,R-HSA-6802955~Paradoxical activation of RAF signaling by kinase inactive BRAF,R-HSA-6802957~Oncogenic MAPK signaling,R-HSA-70221~Glycogen breakdown (glycogenolysis),R-HSA-71387~Metabolism of carbohydrates,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-76002~Platelet activation, signaling and aggregation,R-HSA-76005~Response to elevated platelet cytosolic Ca2+,R-HSA-8876725~Protein methylation,R-HSA-8939211~ESR-mediated signaling,R-HSA-8978934~Metabolism of cofactors,R-HSA-8982491~Glycogen metabolism,R-HSA-8986944~Transcriptional Regulation by MECP2,R-HSA-9005891~Loss of function of MECP2 in Rett syndrome,R-HSA-9005895~Pervasive developmental disorders,R-HSA-9006925~Intracellular signaling by second messengers,R-HSA-9006931~Signaling by Nuclear Receptors,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9009391~Extra-nuclear estrogen signaling,R-HSA-9022535~Loss of phosphorylation of MECP2 at T308,R-HSA-9022692~Regulation of MECP2 expression and activity,R-HSA-936837~Ion transport by P-type ATPases,R-HSA-9617324~Negative regulation of NMDA receptor-mediated neuronal transmission,R-HSA-9619229~Activation of RAC1 downstream of NMDARs,R-HSA-9619483~Activation of AMPK downstream of NMDARs,R-HSA-9620244~Long-term potentiation,R-HSA-9648002~RAS processing,R-HSA-9649948~Signaling downstream of RAS mutants,R-HSA-9656223~Signaling by RAF1 mutants,R-HSA-9658195~Leishmania infection,R-HSA-9662851~Anti-inflammatory response favouring Leishmania parasite infection,R-HSA-9664323~FCGR3A-mediated IL10 synthesis,R-HSA-9664433~Leishmania parasite growth and survival,R-HSA-9675151~Disorders of Developmental Biology,R-HSA-9697154~Disorders of Nervous System Development,R-HSA-9709957~Sensory Perception,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9824439~Bacterial Infection Pathways,R-HSA-9824443~Parasitic Infection Pathways,R-HSA-983695~Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,R-HSA-983705~Signaling by the B Cell Receptor (BCR),R-HSA-983712~Ion channel transport,
CANX	calnexin(CANX)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1280218~Adaptive Immune System,R-HSA-1643685~Disease,R-HSA-168255~Influenza Infection,R-HSA-168256~Immune System,R-HSA-168268~Virus Assembly and Release,R-HSA-168316~Assembly of Viral Components at the Budding Site,R-HSA-2132295~MHC class II antigen presentation,R-HSA-392499~Metabolism of proteins,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-447115~Interleukin-12 family signaling,R-HSA-449147~Signaling by Interleukins,R-HSA-532668~N-glycan trimming in the ER and Calnexin/Calreticulin cycle,R-HSA-5663205~Infectious disease,R-HSA-597592~Post-translational protein modification,R-HSA-8984722~Interleukin-35 Signalling,R-HSA-901042~Calnexin/calreticulin cycle,R-HSA-9020956~Interleukin-27 signaling,R-HSA-9678108~SARS-CoV-1 Infection,R-HSA-9679506~SARS-CoV Infections,R-HSA-9683686~Maturation of spike protein,R-HSA-9683701~Translation of Structural Proteins,R-HSA-9694516~SARS-CoV-2 Infection,R-HSA-9694548~Maturation of spike protein,R-HSA-9694635~Translation of Structural Proteins,R-HSA-9772573~Late SARS-CoV-2 Infection Events,R-HSA-9824446~Viral Infection Pathways,R-HSA-983169~Class I MHC mediated antigen processing & presentation,R-HSA-983170~Antigen Presentation: Folding, assembly and peptide loading of class I MHC,
CAPN1	calpain 1(CAPN1)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-1474228~Degradation of the extracellular matrix,R-HSA-1474244~Extracellular matrix organization,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-6798695~Neutrophil degranulation,R-HSA-6805567~Keratinization,R-HSA-6809371~Formation of the cornified envelope,R-HSA-8862803~Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,R-HSA-8863678~Neurodegenerative Diseases,R-HSA-9645723~Diseases of programmed cell death,R-HSA-9734009~Defective Intrinsic Pathway for Apoptosis,
CNPY3	canopy FGF signaling regulator 3(CNPY3)	Homo sapiens	R-HSA-1679131~Trafficking and processing of endosomal TLR,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-168898~Toll-like Receptor Cascades,
CAPZA1	capping actin protein of muscle Z-line subunit alpha 1(CAPZA1)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1280218~Adaptive Immune System,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-199977~ER to Golgi Anterograde Transport,R-HSA-199991~Membrane Trafficking,R-HSA-2132295~MHC class II antigen presentation,R-HSA-2262752~Cellular responses to stress,R-HSA-3371497~HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,R-HSA-392499~Metabolism of proteins,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-447115~Interleukin-12 family signaling,R-HSA-449147~Signaling by Interleukins,R-HSA-5653656~Vesicle-mediated transport,R-HSA-597592~Post-translational protein modification,R-HSA-6807878~COPI-mediated anterograde transport,R-HSA-6811436~COPI-independent Golgi-to-ER retrograde traffic,R-HSA-6811442~Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-879415~Advanced glycosylation endproduct receptor signaling,R-HSA-8856688~Golgi-to-ER retrograde transport,R-HSA-8950505~Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9020591~Interleukin-12 signaling,R-HSA-948021~Transport to the Golgi and subsequent modification,R-HSA-9659379~Sensory processing of sound,R-HSA-9662360~Sensory processing of sound by inner hair cells of the cochlea,R-HSA-9709957~Sensory Perception,R-HSA-983231~Factors involved in megakaryocyte development and platelet production,
CAPZA2	capping actin protein of muscle Z-line subunit alpha 2(CAPZA2)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1280218~Adaptive Immune System,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-199977~ER to Golgi Anterograde Transport,R-HSA-199991~Membrane Trafficking,R-HSA-2132295~MHC class II antigen presentation,R-HSA-2262752~Cellular responses to stress,R-HSA-3371497~HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,R-HSA-392499~Metabolism of proteins,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-5653656~Vesicle-mediated transport,R-HSA-597592~Post-translational protein modification,R-HSA-6807878~COPI-mediated anterograde transport,R-HSA-6811436~COPI-independent Golgi-to-ER retrograde traffic,R-HSA-6811442~Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-879415~Advanced glycosylation endproduct receptor signaling,R-HSA-8856688~Golgi-to-ER retrograde transport,R-HSA-8953897~Cellular responses to stimuli,R-HSA-948021~Transport to the Golgi and subsequent modification,R-HSA-9659379~Sensory processing of sound,R-HSA-9662360~Sensory processing of sound by inner hair cells of the cochlea,R-HSA-9709957~Sensory Perception,R-HSA-983231~Factors involved in megakaryocyte development and platelet production,
